index,name,shape
77,contextual_residual_unet_1/decoder_mha_0_1/value_1/Add/Cast:0,"[4, 96]"
78,contextual_residual_unet_1/decoder_mha_0_1/query_1/Reshape:0,"[96, 384]"
79,contextual_residual_unet_1/decoder_mha_0_1/key_1/Reshape:0,"[96, 384]"
80,contextual_residual_unet_1/decoder_mha_0_1/attention_output_1/Reshape_1:0,"[384, 96]"
81,contextual_residual_unet_1/decoder_mha_0_1/attention_output_1/BiasAdd/Cast:0,[96]
82,contextual_residual_unet_1/decoder_mha_0_1/Cast_1/x:0,[]
83,contextual_residual_unet_1/decoder_ctx_kv_proj_2_1/Cast/Cast:0,"[128, 32]"
84,contextual_residual_unet_1/decoder_ctx_kv_proj_2_1/BiasAdd/Cast:0,[32]
85,contextual_residual_unet_1/decoder_ctx_kv_proj_1_1/Cast/Cast:0,"[128, 64]"
86,contextual_residual_unet_1/decoder_ctx_kv_proj_1_1/BiasAdd/Cast:0,[64]
87,contextual_residual_unet_1/decoder_ctx_kv_proj_0_1/Cast/Cast:0,"[128, 96]"
88,contextual_residual_unet_1/decoder_ctx_kv_proj_0_1/BiasAdd/Cast:0,[96]
89,contextual_residual_unet_1/conv2d_9_1/convolution/Cast:0,"[128, 96, 1, 1]"
90,contextual_residual_unet_1/conv2d_9_1/Squeeze:0,[128]
91,contextual_residual_unet_1/conv2d_8_1/convolution/Cast:0,"[96, 96, 3, 3]"
92,contextual_residual_unet_1/conv2d_8_1/Squeeze:0,[96]
93,contextual_residual_unet_1/conv2d_7_1/convolution/Cast:0,"[96, 64, 3, 3]"
94,contextual_residual_unet_1/conv2d_7_1/Squeeze:0,[96]
95,contextual_residual_unet_1/conv2d_6_1/convolution/Cast:0,"[96, 64, 1, 1]"
96,contextual_residual_unet_1/conv2d_6_1/Squeeze:0,[96]
97,contextual_residual_unet_1/conv2d_5_1/convolution/Cast:0,"[64, 64, 3, 3]"
98,contextual_residual_unet_1/conv2d_5_1/Squeeze:0,[64]
99,contextual_residual_unet_1/conv2d_4_1/convolution/Cast:0,"[64, 32, 3, 3]"
100,contextual_residual_unet_1/conv2d_4_1/Squeeze:0,[64]
101,contextual_residual_unet_1/conv2d_3_1/convolution/Cast:0,"[64, 32, 1, 1]"
102,contextual_residual_unet_1/conv2d_3_1/Squeeze:0,[64]
103,contextual_residual_unet_1/conv2d_2_1/convolution/Cast:0,"[32, 7, 3, 3]"
104,contextual_residual_unet_1/conv2d_2_1/Squeeze:0,[32]
105,contextual_residual_unet_1/conv2d_26_1/convolution/ReadVariableOp:0,"[3, 32, 3, 3]"
106,contextual_residual_unet_1/conv2d_26_1/Squeeze:0,[3]
107,contextual_residual_unet_1/conv2d_25_1/convolution/Cast:0,"[32, 32, 3, 3]"
108,contextual_residual_unet_1/conv2d_25_1/Squeeze:0,[32]
109,contextual_residual_unet_1/conv2d_24_1/convolution/Cast:0,"[32, 64, 3, 3]"
110,contextual_residual_unet_1/conv2d_24_1/Squeeze:0,[32]
111,contextual_residual_unet_1/conv2d_23_1/convolution/Cast:0,"[32, 64, 1, 1]"
112,contextual_residual_unet_1/conv2d_23_1/Squeeze:0,[32]
113,contextual_residual_unet_1/conv2d_22_1/convolution/Cast:0,"[1, 2, 7, 7]"
114,contextual_residual_unet_1/conv2d_22_1/Reshape:0,[1]
115,contextual_residual_unet_1/conv2d_21_1/convolution/Cast:0,"[64, 64, 3, 3]"
116,contextual_residual_unet_1/conv2d_21_1/Squeeze:0,[64]
117,contextual_residual_unet_1/conv2d_20_1/convolution/Cast:0,"[64, 128, 3, 3]"
118,contextual_residual_unet_1/conv2d_20_1/Squeeze:0,[64]
119,contextual_residual_unet_1/conv2d_1_2/convolution/Cast:0,"[64, 32, 3, 3]"
120,contextual_residual_unet_1/conv2d_1_2/Squeeze:0,[64]
121,contextual_residual_unet_1/conv2d_19_1/convolution/Cast:0,"[64, 128, 1, 1]"
122,contextual_residual_unet_1/conv2d_19_1/Squeeze:0,[64]
123,contextual_residual_unet_1/conv2d_18_1/convolution/Cast:0,"[1, 2, 7, 7]"
124,contextual_residual_unet_1/conv2d_18_1/Reshape:0,[1]
125,contextual_residual_unet_1/conv2d_17_1/convolution/Cast:0,"[96, 96, 3, 3]"
126,contextual_residual_unet_1/conv2d_17_1/Squeeze:0,[96]
127,contextual_residual_unet_1/conv2d_16_1/convolution/Cast:0,"[96, 192, 3, 3]"
128,contextual_residual_unet_1/conv2d_16_1/Squeeze:0,[96]
129,contextual_residual_unet_1/conv2d_15_1/convolution/Cast:0,"[96, 192, 1, 1]"
130,contextual_residual_unet_1/conv2d_15_1/Squeeze:0,[96]
131,contextual_residual_unet_1/conv2d_14_1/convolution/Cast:0,"[1, 2, 7, 7]"
132,contextual_residual_unet_1/conv2d_14_1/Reshape:0,[1]
133,contextual_residual_unet_1/conv2d_13_1/convolution/Cast:0,"[128, 128, 3, 3]"
134,contextual_residual_unet_1/conv2d_13_1/Squeeze:0,[128]
135,contextual_residual_unet_1/conv2d_12_1/convolution/Cast:0,"[128, 128, 3, 3]"
136,contextual_residual_unet_1/conv2d_12_1/Squeeze:0,[128]
